id,nombre,recuperados,infectados,muertos1,Poland,81,583,45
2,Philippines,69,403,23
3,Albania,63,1927,2
4,Canada,59,1533,41
5,China,60,665,25
6,Mongolia,62,1759,2
7,Sweden,76,1325,26
9,Brazil,81,550,33
12,France,92,727,47
13,Czech Republic,59,1783,27
14,Russia,65,929,1
17,Indonesia,68,1824,38
18,Dominica,99,1013,29
20,Uganda,57,1821,43
23,Egypt,96,754,47
24,Poland,79,1952,29
29,Nigeria,71,996,38
30,Barbados,94,743,33
32,Portugal,65,638,10
35,Colombia,66,657,46
36,Greece,53,947,46
41,Peru,68,703,47
43,Yemen,51,1771,44
44,Marshall Islands,69,1855,48
46,Serbia,68,742,21
47,Norway,64,679,47
48,Argentina,69,1035,25
53,Jordan,53,1990,11
54,Netherlands,92,545,36
55,Belize,61,835,14
56,Thailand,89,1173,13
57,United Kingdom,66,1809,19
59,Uruguay,75,1862,7
60,Ecuador,89,1677,3
63,Hungary,80,942,39
65,New Zealand,87,1459,27
67,Paraguay,97,1304,36
68,Ireland,67,1483,40
70,Bolivia,98,1394,12
71,Dominican Republic,56,588,10
72,Iran,69,1536,28
73,Afghanistan,79,645,45
76,Myanmar,54,1619,30
81,Nigeria,79,1605,29
84,Japan,55,1294,26
86,Senegal,100,627,19
88,Mexico,77,1846,49
89,Poland,71,563,48
91,Chile,98,1765,46
97,Spain,96,1554,40
98,Guatemala,76,1111,2
